#Provide data as specified in handbook.,,,,,
#Sample: sample name - necessary,,,,,
#Reagents: Reaction mix (has to be pre-defined in software with matching name!) - recommended,,,,,
#Sample Description: add more details about sample - optional,,,,,
"#Sample Labels: add labels (such as categories) for each sample. Have to be pre-defined in software - optional, avoid if not necessary as this is an easy source of mistakes",,,,,
Destination Well Number,Destination Well Position (Label),Sample,Reagents,Sample Description,Sample Labels
1,A1,,,,
2,A2,,,,
3,A3,,,,
4,B1,,,,
5,B2,,,,
6,B3,,,,
7,C1,,,,
8,C2,,,,
9,C3,,,,
10,D1,,,,
11,D2,,,,
12,D3,,,,
13,E1,,,,
14,E2,,,,
15,E3,,,,
16,F1,,,,
17,F2,,,,
18,F3,,,,
19,G1,,,,
20,G2,,,,
21,G3,,,,
22,H1,,,,
23,H2,,,,
24,H3,,,,
