#Provide data as specified in handbook.,,,,,
Destination Well Number,Destination Well Position (Label),Sample,Reagents,Sample Description,Sample Labels
1,A1,Sample01,Pattern_Triplex,,
2,A2,Sample05,Pattern_Triplex,,
3,A3,Sample09,Pattern_Triplex,,
4,B1,Sample01,Pattern_Triplex,,
5,B2,Sample05,Pattern_Triplex,,
6,B3,Sample09,Pattern_Triplex,,
7,C1,Sample02,Pattern_Triplex,,
8,C2,Sample06,Pattern_Triplex,,
9,C3,Sample10,Pattern_Triplex,,
10,D1,Sample02,Pattern_Triplex,,
11,D2,Sample06,Pattern_Triplex,,
12,D3,Sample10,Pattern_Triplex,,
13,E1,Sample03,Pattern_Triplex,,
14,E2,Sample07,Pattern_Triplex,,
15,E3,Sample11,Pattern_Triplex,,
16,F1,Sample03,Pattern_Triplex,,
17,F2,Sample07,Pattern_Triplex,,
18,F3,Sample11,Pattern_Triplex,,
19,G1,Sample04,Pattern_Triplex,,
20,G2,Sample08,Pattern_Triplex,,
21,G3,Sample12,Pattern_Triplex,,
22,H1,Sample04,Pattern_Triplex,,
23,H2,Sample08,Pattern_Triplex,,
24,H3,Sample12,Pattern_Triplex,,
